params,mean_rmse,std_rmse,scores
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.2426380017697,0.68933353592511,[70.45315954 68.39819386 69.19862359 68.81359926 69.34961375]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.66178667224716,0.5802305885427831,[63.74206164 62.30571211 62.74511606 62.08985726 62.42618629]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.66178667224716,0.5802305885427831,[63.74206164 62.30571211 62.74511606 62.08985726 62.42618629]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",62.66178667224716,0.5802305885427831,[63.74206164 62.30571211 62.74511606 62.08985726 62.42618629]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.20853301959268,0.5808727119618514,[59.30361469 58.30011645 57.89331327 57.75862987 57.78699083]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.20853301959268,0.5808727119618514,[59.30361469 58.30011645 57.89331327 57.75862987 57.78699083]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.7, 'colsample_bytree': 0.9, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",58.20853301959268,0.5808727119618514,[59.30361469 58.30011645 57.89331327 57.75862987 57.78699083]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.40138983130535,0.6756203883563507,[71.60219141 69.67661579 70.35046515 69.85556436 70.52211244]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.40138983130535,0.6756203883563507,[71.60219141 69.67661579 70.35046515 69.85556436 70.52211244]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",70.40138983130535,0.6756203883563507,[71.60219141 69.67661579 70.35046515 69.85556436 70.52211244]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.69820799375874,0.5914071326445228,[65.74983199 64.3100248  64.92609255 64.10582972 64.3992609 ]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.69820799375874,0.5914071326445228,[65.74983199 64.3100248  64.92609255 64.10582972 64.3992609 ]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",64.69820799375874,0.5914071326445228,[65.74983199 64.3100248  64.92609255 64.10582972 64.3992609 ]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.47346546121224,0.6717351144035242,[61.72340222 60.49994275 60.36415097 59.88331952 59.89651185]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.47346546121224,0.6717351144035242,[61.72340222 60.49994275 60.36415097 59.88331952 59.89651185]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",60.47346546121224,0.6717351144035242,[61.72340222 60.49994275 60.36415097 59.88331952 59.89651185]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.86526787278463,0.7197422423061006,[71.15996517 69.07096053 69.76998971 69.3529996  69.97242435]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.86526787278463,0.7197422423061006,[71.15996517 69.07096053 69.76998971 69.3529996  69.97242435]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.86526787278463,0.7197422423061006,[71.15996517 69.07096053 69.76998971 69.3529996  69.97242435]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.52809073447071,0.6114337304049302,[64.61772962 62.91497437 63.71922719 63.04159484 63.34692765]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.52809073447071,0.6114337304049302,[64.61772962 62.91497437 63.71922719 63.04159484 63.34692765]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 200, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",63.52809073447071,0.6114337304049302,[64.61772962 62.91497437 63.71922719 63.04159484 63.34692765]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.32753121991509,0.6988350489799696,[60.70035948 59.13146758 59.13029845 58.8302938  58.84523678]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.32753121991509,0.6988350489799696,[60.70035948 59.13146758 59.13029845 58.8302938  58.84523678]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.8, 'n_estimators': 300, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",59.32753121991509,0.6988350489799696,[60.70035948 59.13146758 59.13029845 58.8302938  58.84523678]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.28010933153391,0.6827821100191729,[70.52269553 68.5551082  69.14315934 68.79814723 69.38143636]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0.1, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.28010933153391,0.6827821100191729,[70.52269553 68.5551082  69.14315934 68.79814723 69.38143636]
"{'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8, 'colsample_bytree': 0.9, 'n_estimators': 100, 'gamma': 0.2, 'objective': 'reg:squarederror', 'random_state': 42, 'n_jobs': -1}",69.28010933153391,0.6827821100191729,[70.52269553 68.5551082  69.14315934 68.79814723 69.38143636]
